,중분류,소분류,도서명,판매지수,가격,출판일,링크
993,컴퓨터 입문/활용,어린이 컴퓨터,코딩 프렌즈와 함께 하는 스크래치 게임 챌린지,"1,269","11,700","지란지교에듀랩,이휘동 저 | 영진닷컴 | 2021년 02월",http://www.yes24.com/Product/Goods/97156165
994,OS/데이터베이스,클라우드/빅데이터,Pandas Cookbook 2/e,"1,128","40,500","매트 해리슨,시어도어 페트로우 저/(주)크라스랩 역 | 에이콘출판사 | 2020년 12월",http://www.yes24.com/Product/Goods/96225744
995,프로그래밍 언어,파이썬,파이썬 딥러닝 머신러닝 입문,"1,998","22,500",오승환 저 | 정보문화사 | 2021년 01월,http://www.yes24.com/Product/Goods/96087004
996,프로그래밍 언어,자바,자바 개발자를 위한 97가지 제안,"4,038","19,800","케블린 헤니,트리샤 지 저/장현희 역 | 제이펍 | 2020년 12월",http://www.yes24.com/Product/Goods/96036230
997,인터넷 비즈니스,인터넷 마케팅,줌 & 구글 클래스룸 MS 팀즈 + EBS 온라인 클래스,"8,760","22,500","문택주,이문형,앤미디어 저 | 성안당 | 2020년 11월",http://www.yes24.com/Product/Goods/95751959
998,웹사이트,HTML/JavaScript/CSS/jQuery,Do it! 점프 투 플라스크,"3,036","17,820",박응용 저 | 이지스퍼블리싱 | 2020년 11월,http://www.yes24.com/Product/Goods/95751850
999,그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,디지털 영상처리,552,"34,000","라파엘 C 곤잘레즈 저/유현중,김태우,오춘석 역 | 퍼스트북 | 2009년 11월",http://www.yes24.com/Product/Goods/95714183
1000,컴퓨터 공학,인공지능,인공지능 완전정복,870,"22,500",정종기 저 | 형설출판사 | 2020년 11월,http://www.yes24.com/Product/Goods/95284389
1001,웹사이트,웹기획,일상 속 사물이 알려주는 웹 API 디자인,"3,750","27,000","아노드 로렛,황건구 저 | 영진닷컴 | 2020년 11월",http://www.yes24.com/Product/Goods/94462254
1002,OS/데이터베이스,클라우드/빅데이터,데이터 분석과 시각화: SQL로 분석하고 Tableau로 시각화하자,"2,688","23,400",모원서 저 | 비제이퍼블릭(BJ퍼블릭) | 2020년 10월,http://www.yes24.com/Product/Goods/94062191
1003,웹사이트,웹디자인,까칠한 조땡의 인포그래픽 디자인 ,"2,244","14,400",조현석 저 | 애드앤미디어 | 2020년 10월,http://www.yes24.com/Product/Goods/93974402
1004,프로그래밍 언어,파이썬,파이썬으로 배우는 게임 개발 입문편,"2,316","25,200",히로세 츠요시 저/김연수 역 | 제이펍 | 2020년 10월,http://www.yes24.com/Product/Goods/93802364
1005,미술,스케치/일러스트,수수한 아이패드 드로잉,"6,588","15,300",수수진 저 | 영진닷컴 | 2020년 09월,http://www.yes24.com/Product/Goods/92357384
1006,OS/데이터베이스,클라우드/빅데이터,데이터 시각화와 탐색 with POWER BI,"4,836","22,500","마경근,서주란 저 | 영진닷컴 | 2020년 07월",http://www.yes24.com/Product/Goods/91295658
1007,웹사이트,HTML/JavaScript/CSS/jQuery,실전 리액트 프로그래밍,"6,288","28,800",이재승 저 | 인사이트(insight) | 2020년 07월,http://www.yes24.com/Product/Goods/90873270
1008,컴퓨터 공학,인공지능,데이터 과학자와 데이터 엔지니어를 위한 인터뷰 문답집,"4,512","30,600",Hulu 데이터 과학팀 저/주거웨 편/김태헌 역 | 제이펍 | 2020년 06월,http://www.yes24.com/Product/Goods/90626736
1009,컴퓨터 수험서,신규자격증/기타,데이터아키텍처 전문가 가이드,"2,580","50,000",한국데이터산업진흥원 저 | 한국데이터산업진흥원 | 2020년 05월,http://www.yes24.com/Product/Goods/90618086
