,중분류,소분류,도서명,판매지수,가격,출판일,링크
2454,컴퓨터 입문/활용,어른을 위한 컴퓨터,아는 만큼 재미있는 인터넷 활용 (Internet Explorer 11),282,"9,000",정동임 저 | 시대인 | 2020년 05월,http://www.yes24.com/Product/Goods/90326514
2455,OS/데이터베이스,클라우드/빅데이터,딥러닝과 바둑,"2,097","32,400","막스 펌펄라,케빈 퍼거슨 저/권정민 역 | 한빛미디어 | 2020년 06월",http://www.yes24.com/Product/Goods/90323579
2456,공학계열,컴퓨터공학,뉴럴 모델을 이용한 자연어 처리,516,"18,000",이상근 저 | 메이킹북스 | 2020년 02월,http://www.yes24.com/Product/Goods/90302623
2457,프로그래밍 언어,JavaScript/CGI,자바스크립트는 왜 그 모양일까?,"3,744","25,200",더글러스 크락포드 저/박수현 역 | 인사이트(insight) | 2020년 05월,http://www.yes24.com/Product/Goods/90283410
2458,그래픽/디자인/멀티미디어,AUTOCAD,플랜트 설계용 AutoCAD P&ID와 Plant 3D 입문 실습,"1,020","25,200",이진호 저 | 렛츠북(book) | 2020년 05월,http://www.yes24.com/Product/Goods/90275545
2459,모바일/태블릿/SNS,유튜브,백만 유튜버의 교과서,750,"18,000","권미용,윤성임,이종선,윤지영,이효진 저 | 미디어북 | 2020년 06월",http://www.yes24.com/Product/Goods/90274574
2460,컴퓨터 공학,소프트웨어 공학,이스티오 첫걸음,"1,458","27,000","리 칼코트,잭 부처 저/이상근 역 | 에이콘출판사 | 2020년 05월",http://www.yes24.com/Product/Goods/90263520
2461,컴퓨터 공학,컴퓨터 교육,쉽게 배우는 앱 인벤터,"4,416","18,000",이재우 저 | 생능출판사 | 2020년 05월,http://www.yes24.com/Product/Goods/90233472
2462,인터넷 비즈니스,인터넷 마케팅,된다! 유튜브·SNS·콘텐츠 저작권 문제 해결,"7,818","16,200",오승종 저 | 이지스퍼블리싱 | 2020년 05월,http://www.yes24.com/Product/Goods/90232772
2463,프로그래밍 언어,프로그래밍 언어 기타,Go 프로그래밍 개발 환경에서 의존성 주입 실습,"1,236","31,500",코리 스캇 저/이준 역 | 에이콘출판사 | 2020년 05월,http://www.yes24.com/Product/Goods/90232500
2464,청소년 문학,국내도서,알고리즘 탐정 프랭크,"1,938","13,500",제러미 쿠비카 저/이가영 역 | 프리렉 | 2020년 05월,http://www.yes24.com/Product/Goods/90162748
2465,그래픽/디자인/멀티미디어,일러스트레이터,진짜 하루만에 끝내는 일러스트레이터,"2,526","21,420",박혜린 저 | 티더블유아이지 | 2020년 05월,http://www.yes24.com/Product/Goods/90107417
2466,프로그래밍 언어,파이썬,인공지능 100점을 위한 파이썬 수학,"1,656","21,600",임성국 저 | 비제이퍼블릭(BJ퍼블릭) | 2020년 04월,http://www.yes24.com/Product/Goods/90073504
2467,그래픽/디자인/멀티미디어,프리미어,이젠 나도! 영상 편집,"1,098","18,000",전은재 저 | 성안당 | 2020년 04월,http://www.yes24.com/Product/Goods/90072081
2468,컴퓨터 공학,소프트웨어 공학,디지털 트랜스포메이션 엔진,768,"22,500","니콜 폴스그렌,제즈 험블,진 킴 저/박현철,류미경 역 | 에이콘출판사 | 2020년 04월",http://www.yes24.com/Product/Goods/90051525
2469,그래픽/디자인/멀티미디어,3DS/MAX,3D 인체 조형 해부학,822,"37,800","(주)비에이치쓰리디조형학원,김병하,박인희,오아롱,권다인 저 | 시옷 | 2019년 06월",http://www.yes24.com/Product/Goods/90048012
2470,OS/데이터베이스,클라우드/빅데이터,텐서플로 2와 케라스로 구현하는 딥러닝 2/e,"5,844","38,700","수짓 팔,아미타 카푸어,안토니오 걸리 저/(주)크라스랩 역 | 에이콘출판사 | 2020년 04월",http://www.yes24.com/Product/Goods/90039994
2471,3-4학년,3-4학년 만화/애니메이션,일렉트론 영웅전 2,"6,510","10,800","조영선,한정욱 글/김우람 그림/조용성 감수 | 길벗 | 2020년 04월",http://www.yes24.com/Product/Goods/90000143
2472,컴퓨터 공학,소프트웨어 공학,Istio로 시작하는 서비스 메시,"2,040","25,200","라훌 샤르마,아비나시 싱 저/황주필 역 | 에이콘출판사 | 2020년 04월",http://www.yes24.com/Product/Goods/89973440
2473,웹사이트,HTML/JavaScript/CSS/jQuery,실용적인 SVG,768,"16,200",크리스 코이어 저/김도균 역 | 웹액츄얼리코리아 | 2020년 04월,http://www.yes24.com/Product/Goods/89967261
2474,그래픽/디자인/멀티미디어,3DS/MAX,따라하며 배우는! 퓨전 Fusion 360 중급,780,"24,700","김주화,윤영철 저 | 한국ATC센터 | 2020년 04월",http://www.yes24.com/Product/Goods/89967244
2475,인터넷 비즈니스,인터넷 마케팅,구글 애널리틱스를 활용한 디지털 마케팅,"1,740","13,500",이태열 저 | 디지털북스 | 2020년 04월,http://www.yes24.com/Product/Goods/89941377
2476,인터넷 비즈니스,쇼핑몰/창업,코틀린으로 쇼핑몰 앱 만들기,"2,256","23,400",이현석 저 | 터닝포인트 | 2020년 05월,http://www.yes24.com/Product/Goods/89913111
2477,웹사이트,HTML/JavaScript/CSS/jQuery,배워서 바로 쓰는 스프링 부트 2,"2,994","25,200","히로스에 다케시,미야바야시 다케히로 저/정인식 역/다카야스 아츠시 감수 | 한빛미디어 | 2020년 04월",http://www.yes24.com/Product/Goods/89903855
2478,컴퓨터 공학,컴퓨터 교육,스크래치 3.0 스타트업 코딩,405,"11,700","이원규,김자미,안영희 저 | 교학사 | 2020년 04월",http://www.yes24.com/Product/Goods/89896391
2479,그래픽/디자인/멀티미디어,3DS/MAX,CATIA V5-3D 실기 실무 2,150,"24,300",다솔유캠퍼스 저 | 예문사 | 2020년 03월,http://www.yes24.com/Product/Goods/89660548
2480,그래픽/디자인/멀티미디어,건축CG,건축인테리어 BIM,168,"29,700",송춘동 저 | 예문사 | 2020년 03월,http://www.yes24.com/Product/Goods/89649745
2481,OS/데이터베이스,클라우드/빅데이터,당신이 지금 알아야 할 빅4 클라우드 머신러닝,"1,164","23,400",이영호 저 | 비제이퍼블릭(BJ퍼블릭) | 2020년 03월,http://www.yes24.com/Product/Goods/89641217
2482,컴퓨터 공학,데이터베이스 일반,시각화를 이용한 데이터 정보분석,270,"29,000","이동수,장인홍 저 | 자유아카데미 | 2020년 03월",http://www.yes24.com/Product/Goods/89640774
2483,그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,기본에 충실한 인벤터 2020,570,"27,000","고성우,신순욱,정용섭 저 | 세진북스 | 2020년 03월",http://www.yes24.com/Product/Goods/89610255
2484,교양만화/비평/작법,만화작법/연출,BRAVELY SECOND Design Works THE ART OF BRAVELY 2013-2015,378,"35,000",스퀘어 에닉스 저 | 영상출판미디어 | 2020년 04월,http://www.yes24.com/Product/Goods/89610174
2485,교양만화/비평/작법,만화작법/연출,BRAVELY DEFAULT Design Works THE ART OF BRAVELY 2010-2013,396,"35,000",스퀘어 에닉스 저 | 영상출판미디어 | 2020년 04월,http://www.yes24.com/Product/Goods/89609993
2486,네트워크/해킹/보안,보안/해킹,x64dbg 디버거를 활용한 리버싱과 시스템 해킹의 원리,"1,974","24,000",김민수 저 | 인피니티북스 | 2020년 03월,http://www.yes24.com/Product/Goods/89607025
2487,과학,재미있는 과학이야기,좀 이상하지만 재미있는 녀석들,"2,832","17,820",저넬 셰인 저/이지연 역 | 알에이치코리아(RHK) | 2020년 03월,http://www.yes24.com/Product/Goods/89605879
2488,OS/데이터베이스,클라우드/빅데이터,클라우드 전환 그 실제 이야기,"1,074","18,000",공용준 저 | 에이콘출판사 | 2020년 03월,http://www.yes24.com/Product/Goods/89597875
2489,OS/데이터베이스,Oracle,그림으로 공부하는 오라클 구조,"1,080","22,500","스기타 아츠시,야마모토 유미코,오다 케이지,츠지이 유카,테라무라 료 저/이민재 역 | 제이펍 | 2020년 03월",http://www.yes24.com/Product/Goods/89595788
2490,컴퓨터 공학,컴퓨터 교육,"파이썬 기반의 AI를 위한 기초수학, 확률 및 통계","1,698","32,000",강봉주 저 | 자유아카데미 | 2020년 03월,http://www.yes24.com/Product/Goods/89594875
2491,그래픽/디자인/멀티미디어,3DS/MAX,퓨전 360 3D 모델링 & 제품디자인 활용편,780,"28,800",김진원 저 | 메카피아 | 2020년 04월,http://www.yes24.com/Product/Goods/89591920
2492,컴퓨터 공학,컴퓨터 교육,마이크로비트로 메이커 되기,"2,166","18,050","한선관,김병남,김병철,김영준,문원태,안성민,홍수빈 저 | 생능출판사 | 2020년 03월",http://www.yes24.com/Product/Goods/89577282
2493,모바일/태블릿/SNS,유튜브,유튜브 크리에이터 되기,"2,496","11,700",에이럭스 교육연구소 저 | 영진닷컴 | 2020년 03월,http://www.yes24.com/Product/Goods/89524929
2494,컴퓨터 공학,컴퓨터 교육,한 권에 모두 담은 엔트리와 아두이노,876,"25,200",선혜욱 저 | 위키북스 | 2020년 03월,http://www.yes24.com/Product/Goods/89523895
2495,컴퓨터 입문/활용,어른을 위한 컴퓨터,스마트폰 강사 이정화 따라잡기,474,"15,300",이정화 저 | 에스엔에스소통연구소 | 2020년 03월,http://www.yes24.com/Product/Goods/89519868
2496,OS/데이터베이스,클라우드/빅데이터,헬스케어 인공지능과 머신러닝,"1,404","31,500",아르준 파네사 저/고석범 역 | 에이콘출판사 | 2020년 03월,http://www.yes24.com/Product/Goods/89509632
2497,프로그래밍 언어,프로그래밍 교육,쿠브플로우,"2,316","13,500","이명환,문근민,홍석환,김효동 저 | 디지털북스 | 2020년 03월",http://www.yes24.com/Product/Goods/89494414
2498,프로그래밍 언어,프로그래밍 언어 기타,R을 이용한 텍스트 마이닝,"1,056","37,000",백영민 저 | 한울아카데미 | 2020년 03월,http://www.yes24.com/Product/Goods/89484023
2499,프로그래밍 언어,파이썬,알기 쉬운 파이썬 SQL 코딩하기,192,"13,500",정현희 저 | 크라운출판사 | 2020년 03월,http://www.yes24.com/Product/Goods/89469136
2500,그래픽/디자인/멀티미디어,포토샵,진짜 하루만에 끝내는 포토샵,"2,964","17,820",박혜린 저 | 티더블유아이지 | 2020년 03월,http://www.yes24.com/Product/Goods/89414456
2501,컴퓨터 공학,소프트웨어 공학,블록코딩과 아두이노 [초급편],396,"12,000",박정규 저 | 복두출판사 | 2020년 01월,http://www.yes24.com/Product/Goods/89379662
2502,컴퓨터 공학,자료구조/알고리즘,양자 컴퓨팅 이론 해설 ,"1,710","40,500",데이비드 맥마혼 저/황정동 역 | 에이콘출판사 | 2020년 03월,http://www.yes24.com/Product/Goods/89379014
2503,그래픽/디자인/멀티미디어,3DS/MAX,CATIA V5 3차원 모델링 방법론 PART 1. SOLID MODELING,72,"23,000",이권수 저 | 위즈덤플 | 2019년 12월,http://www.yes24.com/Product/Goods/89320591
2504,1-2학년,1-2학년 자기계발/생활,핫핫스타 유튜브 크리에이터 되기 with 곰믹스 프로,"4,017","10,800",창의콘텐츠연구소 저 | 해람북스 | 2020년 02월,http://www.yes24.com/Product/Goods/89317717
2505,컴퓨터 입문/활용,어른을 위한 컴퓨터,스마트폰 활용 교육전문가들이 꼭 알아야 할 지침서,780,"17,100","이종구,이정화,한덕호,박인완,이중현,김선숙,홍은희,유화순,유은서,노은숙 저 | 에스엔에스소통연구소 | 2020년 02월",http://www.yes24.com/Product/Goods/89316515
2506,컴퓨터 공학,자료구조/알고리즘,케라스 2.x 프로젝트,636,"31,500",주세페 시아부로 저/김정중 역 | 에이콘출판사 | 2020년 02월,http://www.yes24.com/Product/Goods/89232476
2507,오피스 활용,프레젠테이션,퍼펙트 슬라이드 클리닉 with 파워포인트,678,"27,000",김재성 저 | 에이콘출판사 | 2020년 02월,http://www.yes24.com/Product/Goods/89232435
2508,수학,재미있는 수학이야기,인생에도 수학처럼 답이 있다면,"1,140","16,200",하마다 히로시 저/안동현 역 | 프리렉 | 2020년 02월,http://www.yes24.com/Product/Goods/89212885
2509,OS/데이터베이스,리눅스,리눅스 커널 소스 해설 RISC-V,396,"25,200",정재준 저 | 커널연구회 | 2020년 02월,http://www.yes24.com/Product/Goods/89174707
2510,OS/데이터베이스,리눅스,리눅스 커널 소스 해설 기초입문,777,"25,200",정재준 저 | 커널연구회 | 2020년 02월,http://www.yes24.com/Product/Goods/89174355
2511,컴퓨터 공학,컴퓨터 교육,R을 활용한 머신 러닝 3/e,"1,854","32,400","브레트 란츠 저/(주)크라스랩,윤성진 역 | 에이콘출판사 | 2020년 02월",http://www.yes24.com/Product/Goods/89018381
2512,프로그래밍 언어,프로그래밍 교육,마스터링 분산 추적,648,"27,000","유리 슈쿠로 저/홍성민,남궁영환 역 | 위키북스 | 2020년 02월",http://www.yes24.com/Product/Goods/88389616
2513,컴퓨터 공학,소프트웨어 공학,소프트웨어공학 이야기,420,"22,000",차성덕 저 | 홍릉과학출판사 | 2020년 02월,http://www.yes24.com/Product/Goods/88384787
2514,오피스 활용,MS Excel(엑셀),엑셀 기초 및 실무활용,390,"25,000","강성희,옥정윤 저 | 휴먼싸이언스 | 2020년 01월",http://www.yes24.com/Product/Goods/88377462
2515,OS/데이터베이스,클라우드/빅데이터,클라우드 네이티브 아키텍처,"1,146","24,300","톰 랴쥬스키,카말 아로라,에릭 파,피윰 조누즈 저/홍성민,이진욱 역 | 위키북스 | 2020년 02월",http://www.yes24.com/Product/Goods/88319057
2516,OS/데이터베이스,클라우드/빅데이터,머신러닝을 위한 파이썬 한 조각,"1,284","21,600",박성호 저 | 비제이퍼블릭(BJ퍼블릭) | 2020년 02월,http://www.yes24.com/Product/Goods/87663679
2517,오피스 활용,MS Excel(엑셀),Excel+R 누구나 하는 데이터 분석,522,"22,000",김지형 저 | 한나래아카데미 | 2020년 02월,http://www.yes24.com/Product/Goods/87582159
2518,OS/데이터베이스,SQL Sever,PostgreSQL로 시작하는 SQL 코딩입문 Part 02 활용편,"1,224","20,900",박상용 저 | 엔코아정보컨설팅(이화식) | 2019년 11월,http://www.yes24.com/Product/Goods/87579609
2519,교양만화/비평/작법,만화작법/연출,판타지 캐릭터 일러스트 테크닉,432,"18,000","츠요마루,나나하라 시에,모쿠리,야마무라 레 저/김재훈 역 | 한스미디어 | 2020년 01월",http://www.yes24.com/Product/Goods/87016689
2520,방송통신대학교,자연과학대학,컴퓨터과학개론,576,"11,300","정광식,이관용 공저 | 한국방송통신대학교출판문화원 | 2015년 07월",http://www.yes24.com/Product/Goods/86685699
2521,오피스 활용,MS PowerPoint(파워포인트),파워포인트 활용,240,"9,900",(주)지아이에듀테크 저 | 아이콕스(iCox) | 2020년 02월,http://www.yes24.com/Product/Goods/86666366
2522,오피스 활용,MS Excel(엑셀),엑셀 활용,228,"9,900",(주)지아이에듀테크 저 | 아이콕스(iCox) | 2020년 02월,http://www.yes24.com/Product/Goods/86666363
2523,프로그래밍 언어,C++,고성능을 위한 언어 C++,"1,632","31,500","빅터 세르,비요른 앤드리스트 저/최준 역 | 에이콘출판사 | 2020년 01월",http://www.yes24.com/Product/Goods/86549491
2524,오피스 활용,MS Excel(엑셀),엑셀 2016 활용,234,"9,000",이재훈 저 | 시대인 | 2020년 01월,http://www.yes24.com/Product/Goods/86156633
2525,네트워크/해킹/보안,보안/해킹,ISMS-P 인증 실무 가이드,"2,259","31,500","연수권,신동혁,박나룡 저 | 에이콘출판사 | 2020년 01월",http://www.yes24.com/Product/Goods/86156531
2526,그래픽/디자인/멀티미디어,그래픽일반/자료집,웹툰 드로잉 무작정 따라하기,"3,324","22,500",성윤수 저 | 길벗 | 2020년 01월,http://www.yes24.com/Product/Goods/85963105
2527,프로그래밍 언어,파이썬,10대를 위한 파이썬 교과서,432,"19,800",아리스티데스 보우라스 저 | 교학사 | 2020년 01월,http://www.yes24.com/Product/Goods/85961001
2528,그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,슛뚜의 감성 브이로그,"4,284","14,400",슛뚜 저 | 싸이프레스 | 2020년 01월,http://www.yes24.com/Product/Goods/85931228
2529,인터넷 비즈니스,쇼핑몰/창업,이젠 나도! 네이버 스마트스토어,"3,396","17,820","신승희,황윤정 저 | 성안당 | 2020년 01월",http://www.yes24.com/Product/Goods/85930578
2530,그래픽/디자인/멀티미디어,포토샵,포토샵CC 2020,564,"13,500",유윤자 저 | 아티오 | 2020년 01월,http://www.yes24.com/Product/Goods/85927450
2531,인터넷 비즈니스,쇼핑몰/창업,돈버는 스마트스토어 마케팅,"1,194","14,400","방선영,김윤섭 저 | 정보문화사 | 2020년 01월",http://www.yes24.com/Product/Goods/85642717
2532,그래픽/디자인/멀티미디어,인디자인,인디자인 실용 테크닉,492,"26,100",이용순 저 | 성안당 | 2019년 12월,http://www.yes24.com/Product/Goods/85626890
2533,프로그래밍 언어,프로그래밍 언어 기타,아두이노 스케치 배우기,204,"11,000",서재성 저 | 교우사(오판근) | 2019년 12월,http://www.yes24.com/Product/Goods/85581244
2534,컴퓨터 입문/활용,어른을 위한 컴퓨터,컴퓨터 기초 (Windows 10),"1,128","9,000",정동임 저 | 시대인 | 2020년 01월,http://www.yes24.com/Product/Goods/85477430
2535,컴퓨터 입문/활용,어른을 위한 컴퓨터,컴퓨터 활용 (Windows 10),432,"9,000",이재훈 저 | 시대인 | 2020년 01월,http://www.yes24.com/Product/Goods/85467804
2536,오피스 활용,MS Excel(엑셀),난생처음 실무엑셀 속성과외,"4,122","14,850",심지은 저 | 황금부엉이 | 2020년 01월,http://www.yes24.com/Product/Goods/85383216
2537,프로그래밍 언어,JavaScript/CGI,RxJS 반응형 프로그래밍,822,"25,200","폴 대니얼스,루이스 아텐시오 저/김건희 역 | 길벗 | 2019년 12월",http://www.yes24.com/Product/Goods/85382032
2538,미술,디자인,디자이너가 꼭 알아야 할 그래픽 500,312,"36,100",파이돈 프레스 저/김지현 역 | 시공아트 | 2019년 12월,http://www.yes24.com/Product/Goods/85365182
2539,OS/데이터베이스,클라우드/빅데이터,프로메테우스 인프라스트럭처 모니터링,"1,566","31,500","조엘 바스토스,페드로 아라우호 저/김진웅,문진수 역 | 에이콘출판사 | 2019년 12월",http://www.yes24.com/Product/Goods/85153015
2540,컴퓨터 공학,소프트웨어 공학,실전 Dynamo 완전정복,300,"20,000",장동수 저 | 복두출판사 | 2019년 12월,http://www.yes24.com/Product/Goods/85032085
2541,모바일 프로그래밍,안드로이드폰,너도 만들 수 있어! 유니티 모바일 게임,798,"34,200",조상철 저 | 비제이퍼블릭(BJ퍼블릭) | 2019년 12월,http://www.yes24.com/Product/Goods/85030638
2542,컴퓨터 공학,인공지능,알파제로를 분석하며 배우는 인공지능,"1,098","27,000",후루카와 히데카즈 저/김연수 역 | 제이펍 | 2019년 12월,http://www.yes24.com/Product/Goods/85027093
2543,컴퓨터 입문/활용,어린이 컴퓨터,엔트리로 나의 꿈을 Job아라!,858,"9,000",코딩연구소 저 | 마린북스 | 2020년 01월,http://www.yes24.com/Product/Goods/84934064
2544,컴퓨터 공학,운영체제 일반,임베디드 OS 개발 프로젝트,"1,788","21,600",이만우 저 | 인사이트(insight) | 2019년 12월,http://www.yes24.com/Product/Goods/84909414
2545,프로그래밍 언어,프로그래밍 언어 기타,코틀린으로 배우는 함수형 프로그래밍,"2,094","22,500","조재용,우명인 저 | 인사이트(insight) | 2019년 12월",http://www.yes24.com/Product/Goods/84899008
2546,그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,파워디렉터,"1,860","18,000","김인욱,송영주 저 | 인투북스 | 2019년 12월",http://www.yes24.com/Product/Goods/84820851
2547,프로그래밍 언어,파이썬,"파이썬을 이용한 머신러닝, 딥러닝 실전 개발 입문","3,900","27,000","쿠지라 히코우즈쿠에,윤인성 저 | 위키북스 | 2019년 12월",http://www.yes24.com/Product/Goods/84802550
2548,인터넷 비즈니스,쇼핑몰/창업,가장 쉬운 카드뉴스&상세페이지 만들기,"1,224","16,200",권지현 저 | 정보문화사 | 2019년 12월,http://www.yes24.com/Product/Goods/84794503
2549,컴퓨터 입문/활용,어린이 컴퓨터,컴벤져스 되기 대작전,822,"9,000",김승혜 저 | 아카데미소프트 | 2019년 11월,http://www.yes24.com/Product/Goods/84443513
2550,네트워크/해킹/보안,보안/해킹,벌레사냥꾼,366,"16,200",조현숙 저 | 인포더북스 | 2019년 11월,http://www.yes24.com/Product/Goods/84183333
2551,그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,Maya(마야) 이남국의 Lighting 강좌 (Arnlod Renderer) USB,132,"44,100",이남국 저 | 와일드큐브(Wild Cube) | 2019년 11월,http://www.yes24.com/Product/Goods/84183195
2552,프로그래밍 언어,파이썬,한권으로 개발자가 원하던 파이썬 심화 A to Z,540,"28,800","문용준,문성혁 저 | 잇플ITPLE | 2019년 11월",http://www.yes24.com/Product/Goods/84183174
2553,인터넷 비즈니스,쇼핑몰/창업,누구나 따라하는 네이버 스마트스토어 만들기,"2,760","13,500",권혁중 저 | 디지털북스 | 2019년 12월,http://www.yes24.com/Product/Goods/83849643
2554,프로그래밍 언어,프로그래밍 언어 기타,함수형 언어 산책,270,"21,600",이동규 저 | 제이펍 | 2019년 12월,http://www.yes24.com/Product/Goods/83563381
2555,프로그래밍 언어,파이썬,파이썬으로 배우는 영상처리,606,"33,000","Sandipan Dey 저 / 정성환,조보호,배종욱 공역 | 홍릉과학출판사 | 2020년 01월",http://www.yes24.com/Product/Goods/83555436
2556,게임,게임가이드북/화보집,로블록스 공식 가이드북 배틀 게임 편,852,"10,800","ROBLOX 저/성영우,추성호,성진 역 | 영진닷컴 | 2019년 12월",http://www.yes24.com/Product/Goods/83550854
2557,프로그래밍 언어,파이썬,파이썬으로 배우는 응용 텍스트 분석,"1,032","24,300","벤자민 벵포트,레베카 빌브로,토니 오제다 저/박진수 역 | 제이펍 | 2019년 11월",http://www.yes24.com/Product/Goods/83536010
2558,프로그래밍 언어,C,알쏭달쏭 C 언어 180제,936,"25,200","시바타 보요,유리 가오루 저/안동현 역 | 한빛미디어 | 2019년 12월",http://www.yes24.com/Product/Goods/83518958
2559,OS/데이터베이스,리눅스,만화로 배우는 리눅스 시스템 관리 3 : 네트워크 & 보안 입문,948,"13,500",Piro 저/서수환 역 | 길벗 | 2019년 11월,http://www.yes24.com/Product/Goods/83492498
2560,프로그래밍 언어,프로그래밍 언어 기타,러스트 프로그래밍 공식 가이드,"2,088","30,600","스티브 클라브닉,캐롤 니콜스 저/장현희 역 | 제이펍 | 2019년 11월",http://www.yes24.com/Product/Goods/83075894
2561,게임,게임 개발,게임 테스팅 3/e,294,"31,500","찰스 슐츠,로버트 덴튼 브라이언트 저/진석준 역 | 에이콘출판사 | 2019년 11월",http://www.yes24.com/Product/Goods/82911002
2562,컴퓨터 입문/활용,어린이 컴퓨터,끝짱 컴퓨터영재만들기 Step 4,132,"9,000","이미경,씨엔씨에듀 R&D팀 저 | 씨엔씨에듀 | 2019년 11월",http://www.yes24.com/Product/Goods/82896750
2563,오피스 활용,프레젠테이션,아싸 게임을 만드는 파워포인트,414,"10,800",Play Kids 저 | 씨엔씨에듀 | 2019년 11월,http://www.yes24.com/Product/Goods/82896105
2564,게임,게임가이드북/화보집,마인크래프트 지도,900,"16,200",Mojang AB 저/김성원 역 | 영진닷컴 | 2019년 11월,http://www.yes24.com/Product/Goods/82895878
2565,모바일 프로그래밍,아이폰,스무디 한 잔 마시며 끝내는 React Native,"3,390","27,000",김정헌 저 | 비제이퍼블릭(BJ퍼블릭) | 2019년 11월,http://www.yes24.com/Product/Goods/82895471
2566,프로그래밍 언어,프로그래밍 교육,손으로 배우는 코딩,486,"10,800",코딩아카데미 저 | 아카데미소프트 | 2019년 10월,http://www.yes24.com/Product/Goods/82777166
2567,그래픽/디자인/멀티미디어,애프터이펙트 ,애프터 이펙트로 유튜브 동영상 끝내기,594,"20,700",현수진 저 | 디지털북스 | 2019년 11월,http://www.yes24.com/Product/Goods/82615853
2568,컴퓨터 입문/활용,어른을 위한 컴퓨터,맥OS 카탈리나 무작정 따라하기,"4,152","18,000",고경희 저 | 길벗 | 2019년 11월,http://www.yes24.com/Product/Goods/82590165
2569,웹사이트,웹디자인,웹디자이너를 위한 SASS,636,"11,700",댄 시더홈 저/윤원진 역 | 웹액츄얼리코리아 | 2019년 11월,http://www.yes24.com/Product/Goods/82274192
2570,모바일/태블릿/SNS,앱가이드,스마트정보화6 알기쉬운 스마트폰 활용,"1,026","10,800",렉스기획팀 저 | REXmedia(렉스미디어) | 2019년 11월,http://www.yes24.com/Product/Goods/82223010
2571,프로그래밍 언어,C++,Boost C++ 애플리케이션 개발 2/e,432,"35,100",안토니 폴루킨 저/한정애 역 | 에이콘출판사 | 2019년 11월,http://www.yes24.com/Product/Goods/81720361
2572,컴퓨터 공학,개발방법론,한 권으로 이해하는 IoT 교과서,546,"14,400","야코 토모노리,스기야마 코오지,마츠우라 마유미,타케노시타 코오요오,츠치모토 히로코 저/주한길 역 | 영진닷컴 | 2019년 10월",http://www.yes24.com/Product/Goods/81631456
2573,게임,게임가이드북/화보집,마인크래프트 건축 가이드: 좀비랜드,"1,080","9,000",Mojang AB 저/이주안 역 | 영진닷컴 | 2019년 10월,http://www.yes24.com/Product/Goods/81504918
2574,프로그래밍 언어,프로그래밍 언어 기타,어셈블리 언어 튜토리얼,624,"25,000",원일용 저 | 북스홀릭퍼블리싱 | 2019년 10월,http://www.yes24.com/Product/Goods/81004072
2575,OS/데이터베이스,클라우드/빅데이터,파이썬에 참 좋은 PyCharm,"1,122","20,700",테리엇 저 | 비제이퍼블릭(BJ퍼블릭) | 2019년 10월,http://www.yes24.com/Product/Goods/80923978
2576,3-4학년,3-4학년 학습,프로그래밍 천재가 되자!,486,"12,600",가와사키 준코 글/누마타 코타로 그림/김현옥 역/소기 마코토 감수 | 상상의집 | 2019년 10월,http://www.yes24.com/Product/Goods/80777926
2577,컴퓨터 공학,컴퓨터 교육,비버챌린지 2: 비버챌린지로 배우는 소프트웨어(초등학생용),"2,124","14,250",Bebras Korea 저 | 생능출판사 | 2019년 10월,http://www.yes24.com/Product/Goods/80775123
2578,오피스 활용,한글,정보화 실무 Windows10+블로그+한글 2014,60,"12,000",김신웅 저 | 교학사 | 2019년 10월,http://www.yes24.com/Product/Goods/80771588
2579,그래픽/디자인/멀티미디어,AUTOCAD,오토캐드 2020,528,"22,500",황두환 저 | 시대인 | 2019년 10월,http://www.yes24.com/Product/Goods/80480697
2580,오피스 활용,MS Office,슈퍼차지 파워 BI,804,"27,000",맷 앨링턴 저/김원권 역 | 에이콘출판사 | 2019년 10월,http://www.yes24.com/Product/Goods/80474893
2581,그래픽/디자인/멀티미디어,멀티미디어/컴퓨터 음악/영상,Scarlett 오디오 인터페이스 활용,156,"22,500",The Legend 저 | (주)사운드캣 | 2019년 10월,http://www.yes24.com/Product/Goods/80474003
2582,게임,게임 개발,언리얼 엔진 4 게임 개발 2/e,510,"29,700",맷 에드먼즈 저/장세윤 역 | 에이콘출판사 | 2019년 10월,http://www.yes24.com/Product/Goods/80463839
2583,그래픽/디자인/멀티미디어,캐릭터/애니메이션,플레이헨리로 만드는 애니메이션,246,"10,800",KIE 기획연구실 저 | 아카데미소프트 | 2019년 10월,http://www.yes24.com/Product/Goods/80457779
2584,OS/데이터베이스,클라우드/빅데이터,"프로메테우스, 오픈소스 모니터링 시스템","2,502","28,800","브라이언 브라질 저/김영기,김현진 역 | 책만 | 2019년 10월",http://www.yes24.com/Product/Goods/80452497
2585,게임,게임 기획,NEW 게임 운영 바이블,246,"30,600",이윤임 저 | 무지개터 | 2019년 09월,http://www.yes24.com/Product/Goods/80139269
2586,그래픽/디자인/멀티미디어,그래픽툴/저작툴 기타,동영상으로 배우는 Blender 2.8과 캐릭터 리깅,228,"33,000",이진호 저 | Nstart | 2019년 10월,http://www.yes24.com/Product/Goods/80131618
